R_fighter,B_fighter,Format,Referee,date,location,Fight_type,Winner,Title,weight_class,R_hst_SIG_STR._attempted,R_hst_SIG_STR._succeeded,R_hst_TOTAL_STR._attempted,R_hst_TOTAL_STR._succeeded,R_hst_TD_attempted,R_hst_TD_succeeded,R_hst_HEAD_attempted,R_hst_HEAD_succeeded,R_hst_BODY_attempted,R_hst_BODY_succeeded,R_hst_LEG_attempted,R_hst_LEG_succeeded,R_hst_DISTANCE_attempted,R_hst_DISTANCE_succeeded,R_hst_CLINCH_attempted,R_hst_CLINCH_succeeded,R_hst_GROUND_attempted,R_hst_GROUND_succeeded,R_hst_KD,R_hst_SIG_STR_pct,R_hst_TD_pct,R_hst_SUB_ATT,R_hst_PASS,R_hst_REV,B_hst_SIG_STR._attempted,B_hst_SIG_STR._succeeded,B_hst_TOTAL_STR._attempted,B_hst_TOTAL_STR._succeeded,B_hst_TD_attempted,B_hst_TD_succeeded,B_hst_HEAD_attempted,B_hst_HEAD_succeeded,B_hst_BODY_attempted,B_hst_BODY_succeeded,B_hst_LEG_attempted,B_hst_LEG_succeeded,B_hst_DISTANCE_attempted,B_hst_DISTANCE_succeeded,B_hst_CLINCH_attempted,B_hst_CLINCH_succeeded,B_hst_GROUND_attempted,B_hst_GROUND_succeeded,B_hst_KD,B_hst_SIG_STR_pct,B_hst_TD_pct,B_hst_SUB_ATT,B_hst_PASS,B_hst_REV,R_Stance,R_Height(cm),R_Weight(kg),R_Reach(cm),B_Stance,B_Height(cm),B_Weight(kg),B_Reach(cm),R_age,B_age,R_experience,B_experience,R_title_experience,B_title_experience,R_KO,B_KO,R_sub,B_sub,R_winning,B_winning,R_title_winning,B_title_winning
Bevon Lewis,Darren Stewart,3 Rnd (5-5-5),Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Middleweight Bout,Darren Stewart,False,Middleweight,157.0,68.0,168.0,77.0,0.0,0.0,100.0,27.0,9.0,4.0,48.0,37.0,139.0,56.0,18.0,12.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,55.285714285714285,24.142857142857142,65.14285714285714,32.42857142857143,2.4285714285714284,1.0,45.57142857142857,17.428571428571427,5.428571428571429,4.142857142857143,4.285714285714286,2.5714285714285716,37.857142857142854,11.714285714285714,12.285714285714286,9.142857142857142,5.142857142857143,3.2857142857142856,0.2857142857142857,0.45428571428571424,0.2414285714285714,0.0,0.2857142857142857,0.0,Orthodox,190.5,83.91452,195.5085,Orthodox,182.88,83.91452,187.46939999999998,28.0,28.0,1,7,0,0,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,,
Eddie Wineland,Grigorii Popov,3 Rnd (5-5-5),Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Bantamweight Bout,Eddie Wineland,False,Bantamweight,127.75,35.75,130.75,38.75,0.8333333333333334,0.16666666666666666,112.66666666666667,27.083333333333332,12.75,6.666666666666667,2.3333333333333335,2.0,119.75,31.0,2.6666666666666665,1.75,5.333333333333333,3.0,0.5,0.25666666666666665,0.11083333333333334,0.0,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Orthodox,170.18,61.23492,174.0709,Switch,170.18,61.23492,174.0709,35.0,35.0,12,0,1,0,0.3333333333333333,,0.0,,0.4166666666666667,,0.0,
Katlyn Chookagian,Joanne Calderwood,3 Rnd (5-5-5),Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Women's Flyweight Bout,Katlyn Chookagian,False,Flyweight,197.0,61.166666666666664,210.33333333333334,73.33333333333333,2.1666666666666665,0.0,162.16666666666666,37.166666666666664,22.166666666666668,13.333333333333334,12.666666666666666,10.666666666666666,188.33333333333334,55.333333333333336,6.5,4.166666666666667,2.1666666666666665,1.6666666666666667,0.16666666666666666,0.295,0.0,0.16666666666666666,0.0,0.0,121.875,61.375,162.25,95.625,2.125,1.125,75.0,29.0,21.875,13.0,25.0,19.375,96.75,44.75,14.875,10.25,10.25,6.375,0.375,0.5362499999999999,0.26,0.5,1.25,0.25,Orthodox,175.26,56.699,179.4303,Orthodox,167.64000000000001,56.699,171.3912,30.0,33.0,6,8,0,0,0.0,0.125,0.0,0.125,0.6666666666666666,0.625,,
Alexander Gustafsson,Anthony Smith,5 Rnd (5-5-5-5-5),Marc Goddard,2019-06-01,"Stockholm, Sweden",Light Heavyweight Bout,Anthony Smith,False,Heavyweight,111.13333333333334,44.2,129.46666666666667,60.6,3.0,1.2,92.2,32.266666666666666,11.933333333333334,6.6,7.0,5.333333333333333,94.46666666666667,33.06666666666667,7.0,3.933333333333333,9.666666666666666,7.2,0.6,0.38466666666666666,0.30333333333333334,0.3333333333333333,1.1333333333333333,0.0,66.63636363636364,33.18181818181818,71.45454545454545,37.63636363636363,1.2727272727272727,0.36363636363636365,53.36363636363637,23.272727272727273,9.272727272727273,6.181818181818182,4.0,3.727272727272727,57.18181818181818,25.90909090909091,6.818181818181818,5.2727272727272725,2.6363636363636362,2.0,0.45454545454545453,0.5072727272727273,0.09636363636363637,0.36363636363636365,0.45454545454545453,0.18181818181818182,Orthodox,195.57999999999998,92.98636,200.86789999999996,Orthodox,193.04,92.98636,198.1882,32.0,31.0,15,11,3,1,0.3333333333333333,0.45454545454545453,0.13333333333333333,0.09090909090909091,0.6666666666666666,0.6363636363636364,0.0,0.0
Jimi Manuwa,Aleksandar Rakic,3 Rnd (5-5-5),Kevin Sataki,2019-06-01,"Stockholm, Sweden",Light Heavyweight Bout,Aleksandar Rakic,False,Heavyweight,48.18181818181818,26.09090909090909,53.27272727272727,30.545454545454547,1.4545454545454546,0.2727272727272727,29.636363636363637,10.727272727272727,9.454545454545455,7.2727272727272725,9.090909090909092,8.090909090909092,36.09090909090909,16.181818181818183,11.272727272727273,9.454545454545455,0.8181818181818182,0.45454545454545453,0.2727272727272727,0.5372727272727272,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,113.0,60.333333333333336,181.0,123.66666666666667,1.6666666666666667,1.0,86.66666666666667,40.666666666666664,10.333333333333334,8.333333333333334,16.0,11.333333333333334,68.33333333333333,26.333333333333332,6.666666666666667,4.666666666666667,38.0,29.333333333333332,0.6666666666666666,0.5666666666666667,0.25,0.0,1.3333333333333333,0.0,Orthodox,185.42,92.98636,190.14909999999998,Orthodox,193.04,92.98636,198.1882,39.0,27.0,11,3,0,0,0.45454545454545453,0.3333333333333333,0.0,0.0,0.5454545454545454,1.0,,
Makwan Amirkhani,Chris Fishgold,3 Rnd (5-5-5),Marc Goddard,2019-06-01,"Stockholm, Sweden",Featherweight Bout,Makwan Amirkhani,False,Featherweight,33.0,16.4,43.4,24.8,5.0,2.4,31.2,15.4,1.6,0.8,0.2,0.2,19.8,7.6,0.2,0.0,13.0,8.8,0.2,0.45600000000000007,0.5,1.0,3.2,0.8,53.5,17.0,57.0,19.5,6.0,3.0,46.5,13.5,2.5,1.0,4.5,2.5,45.5,13.5,5.0,2.5,3.0,1.0,0.0,0.345,0.5,1.0,2.5,0.0,Southpaw,177.8,65.77083999999999,182.11,Orthodox,172.72,65.77083999999999,176.7506,31.0,27.0,5,2,0,0,0.2,0.0,0.2,0.5,0.8,0.5,,
Damir Hadzovic,Christos Giagos,3 Rnd (5-5-5),Rich Mitchell,2019-06-01,"Stockholm, Sweden",Lightweight Bout,Christos Giagos,False,Lightweight,72.4,34.8,87.0,47.6,0.8,0.4,60.2,24.4,9.0,7.2,3.2,3.2,60.0,25.4,3.6,3.2,8.8,6.2,0.4,0.49800000000000005,0.132,0.2,0.6,0.0,60.2,19.8,76.0,33.4,3.0,1.2,52.2,14.8,7.0,4.2,1.0,0.8,42.8,11.0,4.6,2.6,12.8,6.2,0.0,0.342,0.3,0.2,1.0,0.4,Orthodox,175.26,70.30676,179.4303,Orthodox,177.8,70.30676,182.11,33.0,29.0,5,5,0,0,0.4,0.0,0.0,0.2,0.6,0.4,,
Daniel Teymur,Sung Bin Jo,3 Rnd (5-5-5),Rebin Saber,2019-06-01,"Stockholm, Sweden",Featherweight Bout,Daniel Teymur,False,Featherweight,88.0,41.0,98.0,49.333333333333336,1.6666666666666667,0.3333333333333333,58.333333333333336,21.0,6.0,5.0,23.666666666666668,15.0,71.66666666666667,29.333333333333332,9.666666666666666,6.333333333333333,6.666666666666667,5.333333333333333,0.0,0.4666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Orthodox,165.1,65.77083999999999,168.7115,Orthodox,182.88,65.77083999999999,187.46939999999998,31.0,27.0,3,0,0,0,0.0,,0.0,,0.0,,,
Rostem Akman,Sergey Khandozhko,3 Rnd (5-5-5),Leon Roberts,2019-06-01,"Stockholm, Sweden",Welterweight Bout,Sergey Khandozhko,False,Welterweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switch,177.8,77.11064,182.11,Orthodox,185.42,77.11064,190.14909999999998,27.0,27.0,0,0,0,0,,,,,,,,
Tonya Evinger,Lina Lansberg,3 Rnd (5-5-5),Kevin Sataki,2019-06-01,"Stockholm, Sweden",Women's Bantamweight Bout,Lina Lansberg,False,Bantamweight,50.5,20.5,54.5,24.5,2.5,0.5,30.5,7.5,12.0,7.5,8.0,5.5,43.5,15.5,7.0,5.0,0.0,0.0,0.0,0.465,0.125,0.0,0.0,0.0,78.6,43.6,100.8,62.4,1.8,0.4,46.8,16.4,26.0,22.2,5.8,5.0,46.6,17.6,30.2,24.8,1.8,1.2,0.0,0.562,0.22800000000000004,0.2,0.0,0.0,Orthodox,170.18,61.23492,174.0709,Orthodox,170.18,61.23492,174.0709,38.0,37.0,2,5,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,
Stevie Ray,Leonardo Santos,3 Rnd (5-5-5),Marc Goddard,2019-06-01,"Stockholm, Sweden",Lightweight Bout,Leonardo Santos,False,Lightweight,88.88888888888889,40.22222222222222,104.66666666666667,53.888888888888886,1.0,0.5555555555555556,67.77777777777777,24.555555555555557,8.0,5.111111111111111,13.11111111111111,10.555555555555555,74.88888888888889,29.88888888888889,5.777777777777778,3.4444444444444446,8.222222222222221,6.888888888888889,0.1111111111111111,0.45000000000000007,0.23111111111111113,0.5555555555555556,0.8888888888888888,0.0,62.333333333333336,25.166666666666668,75.66666666666667,36.833333333333336,3.3333333333333335,0.8333333333333334,46.666666666666664,15.0,9.666666666666666,5.166666666666667,6.0,5.0,53.833333333333336,18.833333333333332,2.0,1.0,6.5,5.333333333333333,0.16666666666666666,0.41,0.3566666666666667,0.3333333333333333,1.8333333333333333,0.0,Southpaw,177.8,70.30676,182.11,Orthodox,182.88,70.30676,187.46939999999998,29.0,39.0,9,6,0,1,0.2222222222222222,0.16666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333334,,1.0
Nick Hein,Frank Camacho,3 Rnd (5-5-5),Leon Roberts,2019-06-01,"Stockholm, Sweden",Lightweight Bout,Frank Camacho,False,Lightweight,101.14285714285714,34.142857142857146,114.42857142857143,46.0,2.142857142857143,0.7142857142857143,85.0,24.0,10.428571428571429,5.571428571428571,5.714285714285714,4.571428571428571,98.0,32.714285714285715,2.857142857142857,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3171428571428571,0.15142857142857144,0.0,0.7142857142857143,0.14285714285714285,193.0,95.0,231.66666666666666,131.0,3.3333333333333335,1.3333333333333333,170.33333333333334,76.33333333333333,21.666666666666668,17.666666666666668,1.0,1.0,177.33333333333334,84.0,13.333333333333334,10.333333333333334,2.3333333333333335,0.6666666666666666,0.0,0.47,0.39999999999999997,0.0,1.3333333333333333,0.6666666666666666,Southpaw,167.64000000000001,70.30676,171.3912,Orthodox,177.8,77.11064,182.11,35.0,30.0,7,3,0,0,0.0,0.0,0.0,0.0,0.5714285714285714,0.3333333333333333,,
Bea Malecki,Duda Santana,3 Rnd (5-5-5),,2019-06-01,"Stockholm, Sweden",Women's Bantamweight Bout,Bea Malecki,False,Bantamweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthodox,175.26,61.23492,179.4303,Orthodox,170.18,65.77083999999999,174.0709,28.0,23.0,0,0,0,0,,,,,,,,
Darko Stosic,Devin Clark,3 Rnd (5-5-5),Kevin Sataki,2019-06-01,"Stockholm, Sweden",Light Heavyweight Bout,Devin Clark,False,Heavyweight,16.0,9.0,17.0,9.0,0.0,0.0,12.0,8.0,2.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,11.0,8.0,0.0,0.56,0.0,0.0,0.0,0.0,61.0,35.5,119.33333333333333,87.66666666666667,4.833333333333333,2.1666666666666665,44.666666666666664,22.5,9.5,7.166666666666667,6.833333333333333,5.833333333333333,37.166666666666664,16.333333333333332,12.166666666666666,9.0,11.666666666666666,10.166666666666666,0.3333333333333333,0.5866666666666668,0.39333333333333337,0.16666666666666666,1.8333333333333333,0.0,Orthodox,182.88,92.98636,187.46939999999998,Orthodox,182.88,92.98636,187.46939999999998,27.0,29.0,1,6,0,0,1.0,0.0,0.0,0.0,1.0,0.5,,
Joel Alvarez,Danilo Belluardo,3 Rnd (5-5-5),Rebin Saber,2019-06-01,"Stockholm, Sweden",Lightweight Bout,Joel Alvarez,False,Lightweight,127.0,38.0,127.0,38.0,0.0,0.0,107.0,26.0,11.0,5.0,9.0,7.0,126.0,37.0,1.0,1.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Orthodox,190.5,70.30676,195.5085,Southpaw,182.88,70.30676,187.46939999999998,25.0,25.0,1,0,0,0,0.0,,0.0,,0.0,,,
Rafael Dos Anjos,Kevin Lee,5 Rnd (5-5-5-5-5),Dan Miragliotta,2019-05-18,"Rochester, New York, USA",Welterweight Bout,Rafael Dos Anjos,False,Welterweight,105.57692307692308,47.92307692307692,127.76923076923077,67.96153846153847,4.3076923076923075,1.7307692307692308,78.23076923076923,27.307692307692307,15.615384615384615,10.923076923076923,11.73076923076923,9.692307692307692,82.8076923076923,31.923076923076923,11.807692307692308,8.846153846153847,10.961538461538462,7.153846153846154,0.19230769230769232,0.45307692307692304,0.2965384615384616,0.6153846153846154,1.5,0.07692307692307693,113.64285714285714,49.07142857142857,140.42857142857142,72.85714285714286,5.714285714285714,2.5,99.71428571428571,38.142857142857146,12.714285714285714,9.714285714285714,1.2142857142857142,1.2142857142857142,83.21428571428571,26.0,6.142857142857143,4.714285714285714,24.285714285714285,18.357142857142858,0.0,0.45000000000000007,0.455,0.7857142857142857,3.2142857142857144,0.07142857142857142,Southpaw,172.72,77.11064,176.7506,Orthodox,175.26,77.11064,179.4303,35.0,27.0,26,14,4,1,0.15384615384615385,0.14285714285714285,0.11538461538461539,0.2857142857142857,0.6538461538461539,0.7142857142857143,0.5,0.0
Antonio Carlos Junior,Ian Heinisch,3 Rnd (5-5-5),Todd Ronald Anderson,2019-05-18,"Rochester, New York, USA",Middleweight Bout,Ian Heinisch,False,Middleweight,50.333333333333336,23.0,74.0,42.666666666666664,6.111111111111111,2.7777777777777777,40.22222222222222,15.222222222222221,6.666666666666667,4.666666666666667,3.4444444444444446,3.111111111111111,37.22222222222222,13.777777777777779,3.6666666666666665,2.6666666666666665,9.444444444444445,6.555555555555555,0.0,0.4344444444444444,0.4833333333333333,0.6666666666666666,2.5555555555555554,0.1111111111111111,95.0,55.0,133.0,90.0,7.0,1.0,74.0,38.0,10.0,10.0,11.0,7.0,59.0,30.0,21.0,14.0,15.0,11.0,1.0,0.57,0.14,2.0,1.0,0.0,Orthodox,187.96,83.91452,192.8288,Orthodox,180.34,83.91452,184.7897,29.0,31.0,9,1,1,0,0.0,0.0,0.4444444444444444,0.0,0.6666666666666666,1.0,1.0,
Megan Anderson,Felicia Spencer,3 Rnd (5-5-5),Keith Peterson,2019-05-18,"Rochester, New York, USA",Women's Featherweight Bout,Felicia Spencer,False,Featherweight,33.5,14.5,45.0,25.5,0.0,0.0,25.0,8.5,8.5,6.0,0.0,0.0,28.5,11.0,5.0,3.5,0.0,0.0,0.0,0.385,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,Orthodox,182.88,65.77083999999999,187.46939999999998,Orthodox,167.64000000000001,65.77083999999999,171.3912,29.0,28.0,2,0,0,0,0.5,,0.0,,0.5,,,
Vicente Luque,Derrick Krantz,3 Rnd (5-5-5),Dan Miragliotta,2019-05-18,"Rochester, New York, USA",Welterweight Bout,Vicente Luque,False,Welterweight,67.7,38.8,75.3,45.7,1.2,0.6,53.0,26.7,6.7,5.0,8.0,7.1,57.4,31.3,3.6,3.0,6.7,4.5,0.6,0.511,0.10800000000000001,0.6,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,Orthodox,180.34,77.11064,184.7897,Orthodox,177.8,77.11064,182.11,27.0,31.0,10,0,0,0,0.5,,0.3,,0.8,,,
