fighter_name,Stance,DOB,Height(cm),Weight(kg),Reach(cm)
Adam Schindler,Orthodox,1983-05-19,172.72,70.30676,176.7506
Adam Smith,Orthodox,,,,
Adam Steele,Orthodox,,,77.11064,
Adam Wieczorek,Orthodox,1992-02-05,195.57999999999998,113.398,200.86789999999996
Adam Yandiev,Orthodox,1988-08-07,175.26,83.91452,179.4303
Adin Duenas,Orthodox,1988-07-02,167.64000000000001,65.77083999999999,171.3912
Adlan Amagov,Orthodox,1986-10-30,187.96,77.11064,192.8288
Adli Edwards,Orthodox,1989-08-28,,65.77083999999999,
Adrian Diaz,Southpaw,1988-04-26,177.8,65.77083999999999,182.11
Adrian Serrano,Orthodox,1963-12-23,172.72,77.11064,176.7506
Adriano Martins,Southpaw,1982-12-16,177.8,70.30676,182.11
Adriano Santos,Orthodox,,,,
Adrienna Jenkins,Orthodox,1981-07-22,172.72,65.77083999999999,176.7506
Aiemann Zahabi,Orthodox,1987-11-19,172.72,61.23492,176.7506
Aisling Daly,Orthodox,1987-12-24,157.48000000000002,52.16308,160.6724
Aji Susilo,Orthodox,,177.8,70.30676,182.11
Akbarh Arreola,Southpaw,1983-01-14,177.8,70.30676,182.11
Akihiro Gono,Switch,1974-10-07,170.18,77.11064,174.0709
Akihito Tanaka,Southpaw,,,,
Akira Corassani,Orthodox,1982-08-27,172.72,65.77083999999999,176.7506
Akira Kikuchi,Orthodox,1978-07-23,172.72,70.30676,176.7506
Akira Shoji,Orthodox,1974-01-31,172.72,88.45044,176.7506
Akitoshi Tamura,Orthodox,1980-05-31,175.26,61.23492,179.4303
Akiyo Nishiura,Southpaw,1983-08-08,172.72,63.049288,176.7506
Al Iaquinta,Orthodox,1987-04-30,177.8,70.30676,182.11
Alan Belcher,Orthodox,1984-04-24,187.96,83.91452,192.8288
Alan Gomez,Orthodox,,,70.30676,
Alan Hiro,Orthodox,1986-04-04,165.1,61.23492,168.7115
Alan Jouban,Southpaw,1981-11-25,182.88,77.11064,187.46939999999998
Alan Omer,Orthodox,1988-09-14,177.8,65.77083999999999,182.11
Alan Patrick,Southpaw,1983-07-19,180.34,70.30676,184.7897
Alavutdin Gadjiev,Orthodox,1982-06-23,187.96,83.91452,192.8288
Albert Cheng,Orthodox,1985-02-07,180.34,77.11064,184.7897
Albert Morales,Orthodox,1991-05-25,175.26,61.23492,179.4303
Albert Rios,Orthodox,,172.72,65.77083999999999,176.7506
Albert Tumenov,Orthodox,1991-12-26,180.34,77.11064,184.7897
Alberta Cerra Leon,Orthodox,,172.72,107.954896,176.7506
Alberto Crane,Orthodox,1976-07-14,165.1,70.30676,168.7115
Alberto Mina,Orthodox,1982-05-02,182.88,77.11064,187.46939999999998
Alberto Uda,Orthodox,1984-08-08,190.5,83.91452,195.5085
Alejandro Garcia,Orthodox,,170.18,65.77083999999999,174.0709
Alejandro Perez,Orthodox,1989-09-02,167.64000000000001,61.23492,171.3912
Alejandro Villalobos,Orthodox,1979-10-26,170.18,65.77083999999999,174.0709
Aleksa Camur,Orthodox,1995-09-25,182.88,92.98636,187.46939999999998
Aleksandar Rakic,Orthodox,1992-02-06,193.04,92.98636,198.1882
Aleksander Emelianenko,Orthodox,1981-08-02,198.12,115.66596,203.5476
Aleksei Kunchenko,Orthodox,1984-05-02,172.72,77.11064,176.7506
Aleksei Oleinik,Orthodox,1977-06-20,187.96,108.86207999999999,192.8288
Alen Amedovski,Orthodox,1988-04-06,177.8,83.91452,182.11
Alessandro Ricci,Orthodox,1982-07-21,180.34,70.30676,184.7897
Alessio Di Chirico,Orthodox,1989-12-12,182.88,83.91452,187.46939999999998
Alessio Sakara,Orthodox,1981-09-02,182.88,83.91452,187.46939999999998
Alex Andrade,Orthodox,1974-05-14,180.34,90.7184,184.7897
Alex Caceres,Southpaw,1988-06-20,177.8,65.77083999999999,182.11
Alex Chambers,Orthodox,1978-10-25,160.02,52.16308,163.3521
Alex Crispin,Orthodox,,,70.30676,
Alex Da Silva,Orthodox,1996-02-04,172.72,70.30676,176.7506
Alex Dunworth,Orthodox,,172.72,70.30676,176.7506
Alex Enlund,Orthodox,1987-05-27,177.8,65.77083999999999,182.11
Alex Garcia,Orthodox,1987-07-14,175.26,77.11064,179.4303
Alex Gilpin,Orthodox,1992-03-26,170.18,65.77083999999999,174.0709
Alex Gorgees,Switch,1995-08-11,187.96,70.30676,192.8288
Alex Higley,Orthodox,,177.8,65.77083999999999,182.11
Alex Huddleston,Orthodox,1986-08-11,200.66,115.212368,206.22729999999999
Alex Hunter,Orthodox,,175.26,102.511792,179.4303
Alex Karalexis,Orthodox,1977-09-20,172.72,70.30676,176.7506
Alex Morono,Orthodox,1990-08-16,180.34,77.11064,184.7897
Alex Nicholson,Orthodox,1990-05-02,193.04,83.91452,198.1882
Alex Oliveira,Orthodox,1988-02-21,180.34,77.11064,184.7897
Alex Perez,Orthodox,1992-03-21,167.64000000000001,61.23492,171.3912
Alex Reyes,Orthodox,1986-10-02,180.34,77.11064,184.7897
Alex Schoenauer,Orthodox,1976-05-05,190.5,83.91452,195.5085
Alex Serdyukov,Orthodox,1980-05-24,187.96,77.11064,192.8288
Alex Soto,Southpaw,1984-02-15,172.72,61.23492,176.7506
Alex Stiebling,Southpaw,,187.96,92.98636,192.8288
Alex Torres,Orthodox,1988-05-29,177.8,65.77083999999999,182.11
Alex White,Southpaw,1988-10-22,182.88,70.30676,187.46939999999998
Alex Zuniga,Orthodox,,,65.77083999999999,
Alexa Grasso,Orthodox,1993-08-09,165.1,52.16308,168.7115
Alexander Crispim,Orthodox,,,65.77083999999999,
Alexander Gustafsson,Orthodox,1987-01-15,195.57999999999998,92.98636,200.86789999999996
Alexander Hernandez,Orthodox,1992-10-01,175.26,70.30676,179.4303
Alexander Munoz,Switch,1990-02-27,175.26,70.30676,179.4303
Alexander Otsuka,Orthodox,1971-07-17,185.42,92.98636,190.14909999999998
Alexander Poppeck,Orthodox,1992-04-06,187.96,92.98636,192.8288
Alexander Romanov,Orthodox,1990-12-11,182.88,120.20188,187.46939999999998
Alexander Sarnavskiy,Orthodox,1989-01-17,180.34,70.30676,184.7897
Alexander Shlemenko,Orthodox,1984-05-20,180.34,83.91452,184.7897
Alexander Trevino,Orthodox,,,77.11064,
Alexander Volkanovski,Orthodox,1988-09-29,167.64000000000001,65.77083999999999,171.3912
Alexander Volkov,Orthodox,1988-10-24,200.66,113.398,206.22729999999999
Alexander Yakovlev,Southpaw,1984-07-18,190.5,70.30676,195.5085
Alexandra Albu,Orthodox,1990-07-14,157.48000000000002,52.16308,160.6724
Alexandre Barros,Southpaw,1976-11-19,175.26,77.11064,179.4303
Alexandre Dantas,Orthodox,1979-03-01,187.96,107.954896,192.8288
Alexandre Ferreira,Orthodox,1979-04-25,170.18,92.98636,174.0709
Alexandre Franca Nogueira,Orthodox,1978-01-15,170.18,65.77083999999999,174.0709
Alexandre Pantoja,Orthodox,1990-04-16,165.1,56.699,168.7115
Alexandru Lungu,Orthodox,1974-09-03,182.88,174.63291999999998,187.46939999999998
Alexis Davis,Orthodox,1984-10-04,167.64000000000001,56.699,171.3912
Alexis Dufresne,Orthodox,1990-08-31,175.26,61.23492,179.4303
Alfonso Alcarez,Orthodox,1970-06-10,160.02,65.77083999999999,163.3521
Alfred Khashakyan,Orthodox,1988-07-17,172.72,61.23492,176.7506
Ali Bagautinov,Orthodox,1985-06-10,162.56,56.699,166.0318
Aliev Makhmud,Southpaw,1970-02-13,167.64000000000001,88.45044,171.3912
Alistair Overeem,Orthodox,1980-05-17,193.04,120.20188,198.1882
Aljamain Sterling,Orthodox,1989-07-31,170.18,61.23492,174.0709
Allan Goes,Orthodox,1971-04-20,182.88,92.98636,187.46939999999998
Allan Nascimento,Orthodox,1991-09-11,175.26,56.699,179.4303
Allan Zuniga,Orthodox,1992-04-04,170.18,70.30676,174.0709
Allen Berube,Orthodox,1974-08-25,172.72,70.30676,176.7506
Allen Crowder,Orthodox,1989-11-08,190.5,111.13004,195.5085
Alonzo Martinez,Orthodox,1984-04-22,177.8,70.30676,182.11
Alonzo Menifield,Orthodox,1987-10-18,182.88,92.98636,187.46939999999998
Alptekin Ozkilic,Orthodox,1986-03-27,165.1,56.699,168.7115
Alton Cunningham,Orthodox,1993-06-24,187.96,92.98636,192.8288
Alton Meeks,Orthodox,1994-04-05,195.57999999999998,120.20188,200.86789999999996
Alvaro Herrera,Orthodox,1990-05-14,182.88,70.30676,187.46939999999998
Alvin Cacdac,Orthodox,,167.64000000000001,56.699,171.3912
Alvin Robinson,Southpaw,1982-07-16,175.26,70.30676,179.4303
Amador Ramirez,Orthodox,1990-06-14,,61.23492,
Amanda Cooper,Switch,1991-10-22,160.02,52.16308,163.3521
Amanda Lemos,Southpaw,1987-05-22,162.56,61.23492,166.0318
Amanda Nunes,Orthodox,1988-05-30,172.72,65.77083999999999,176.7506
Amanda Ribas,Orthodox,1993-08-26,162.56,52.16308,166.0318
Amar Suloev,Orthodox,1976-07-01,175.26,83.007336,179.4303
Amaury Bitetti,Orthodox,,175.26,83.91452,179.4303
Amber Tackett,Orthodox,,,52.16308,
Amilcar Alves,Southpaw,1988-08-08,182.88,77.11064,187.46939999999998
Amir Aliakbari,Orthodox,1984-06-10,190.5,113.398,195.5085
Amir Rahnavardi,Orthodox,1974-12-07,182.88,92.98636,187.46939999999998
Amir Sadollah,Orthodox,1980-08-27,177.8,77.11064,182.11
An Ying Wang,Orthodox,1991-04-04,182.88,77.11064,187.46939999999998
Anatoly Tokov,Orthodox,1990-02-17,177.8,83.91452,182.11
Anderson Dos Santos,Orthodox,1985-07-24,165.1,61.23492,168.7115
Anderson Silva,Southpaw,1975-04-14,187.96,83.91452,192.8288
Andre Amado,Orthodox,,182.88,69.853168,187.46939999999998
Andre Ewell,Southpaw,1988-01-21,172.72,61.23492,176.7506
Andre Fili,Orthodox,1990-06-25,180.34,65.77083999999999,184.7897
Andre Galvao,Orthodox,1982-09-29,170.18,76.203456,174.0709
Andre Gusmao,Orthodox,1977-05-19,182.88,92.98636,187.46939999999998
Andre Muniz,Southpaw,1990-02-17,187.96,83.91452,192.8288
Andre Mussi,Orthodox,,190.5,109.76926399999999,195.5085
Andre Pederneiras,Orthodox,1967-03-22,172.72,70.30676,176.7506
Andre Roberts,Orthodox,1965-02-24,187.96,156.48924,192.8288
Andre Santos,Orthodox,,182.88,77.11064,187.46939999999998
Andre Soukhamthath,Orthodox,1988-10-23,175.26,61.23492,179.4303
Andre Walker,Southpaw,,180.34,92.98636,184.7897
Andre Winner,Orthodox,1981-11-09,180.34,70.30676,184.7897
Andrea Lee,Orthodox,1989-02-11,167.64000000000001,56.699,171.3912
Andreas Spang,Orthodox,1978-11-07,185.42,83.91452,190.14909999999998
Andreas Stahl,Orthodox,1988-05-20,180.34,77.11064,184.7897
Andrei Arlovski,Orthodox,1979-02-04,190.5,108.86207999999999,195.5085
Andrei Kopylov,Orthodox,1965-07-16,187.96,120.20188,192.8288
Andrei Semenov,Orthodox,1977-06-17,182.88,83.91452,187.46939999999998
Andrew Craig,Orthodox,1986-01-15,185.42,77.11064,190.14909999999998
Andrew Holbrook,Southpaw,1986-02-06,180.34,70.30676,184.7897
Andrew Montanez,Orthodox,,,83.91452,
Andrew Ramm,Orthodox,,185.42,72.57472,190.14909999999998
Andrew Sanchez,Orthodox,1988-04-08,185.42,83.91452,190.14909999999998
Andrew Todhunter,Switch,1987-11-30,182.88,83.91452,187.46939999999998
Andrew Valladerez,Orthodox,,,61.23492,
Andrews Nakahara,Orthodox,1983-03-12,185.42,83.91452,190.14909999999998
Andrey Koreshkov,Orthodox,1990-08-23,182.88,77.11064,187.46939999999998
Andy Anderson,Orthodox,1974-07-16,167.64000000000001,108.86207999999999,171.3912
Andy Enz,Orthodox,1991-08-15,190.5,83.91452,195.5085
Andy Murad,Orthodox,,175.26,83.91452,179.4303
Andy Ogle,Orthodox,1989-02-16,172.72,65.77083999999999,176.7506
Andy Ologun,Orthodox,1983-06-12,182.88,69.853168,187.46939999999998
Andy Uhrich,Orthodox,,182.88,77.11064,187.46939999999998
Andy Wang,Orthodox,1977-05-28,167.64000000000001,70.30676,171.3912
Andy Waters,Orthodox,,182.88,77.11064,187.46939999999998
Angel De Anda,Orthodox,1985-05-28,175.26,102.0582,179.4303
Angela Hill,Orthodox,1985-01-12,160.02,52.16308,163.3521
Angela Magana,Orthodox,1983-08-02,154.94,52.16308,157.99269999999999
Angelo Antonio,Orthodox,,,92.98636,
Angelo Trevino,Switch,1993-06-10,180.34,77.11064,184.7897
Anistavio Medeiros,Orthodox,1988-05-01,167.64000000000001,65.77083999999999,171.3912
Anna Elmose,Orthodox,1984-10-06,160.02,52.16308,163.3521
Ansar Chalangov,Orthodox,1979-10-30,175.26,77.11064,179.4303
Anthony Adams,Orthodox,1988-01-13,182.88,83.91452,187.46939999999998
Anthony Alves,Orthodox,,,,
Anthony Avila,Orthodox,1988-12-29,170.18,65.77083999999999,174.0709
Anthony Birchak,Orthodox,1986-05-16,172.72,61.23492,176.7506
Anthony Christodoulou,Orthodox,1987-07-30,175.26,70.30676,179.4303
Anthony Do,Orthodox,,162.56,56.699,166.0318
Anthony Figueroa,Orthodox,,162.56,61.23492,166.0318
Anthony Hamilton,Orthodox,1980-04-14,195.57999999999998,117.93392,200.86789999999996
Anthony Hernandez,Orthodox,1993-10-18,182.88,83.91452,187.46939999999998
Anthony Johnson,Orthodox,1984-03-06,187.96,92.98636,192.8288
Anthony Lapsley,Southpaw,1980-02-13,175.26,77.11064,179.4303
Anthony Leone,Orthodox,1987-05-27,167.64000000000001,61.23492,171.3912
Anthony Macias,Switch,,175.26,83.91452,179.4303
Anthony Morrison,Orthodox,1984-03-29,170.18,65.77083999999999,174.0709
Anthony Njokuani,Orthodox,1980-03-01,185.42,70.30676,190.14909999999998
Anthony Perosh,Orthodox,1972-10-05,190.5,92.98636,195.5085
Anthony Pettis,Orthodox,1987-01-27,177.8,77.11064,182.11
Anthony Rocco Martin,Orthodox,1989-12-11,182.88,77.11064,187.46939999999998
Anthony Ruiz,Orthodox,1977-11-03,187.96,92.98636,192.8288
Anthony Smith,Orthodox,1988-07-26,193.04,92.98636,198.1882
Anthony Taylor,Orthodox,,170.18,65.77083999999999,174.0709
Anthony Torres,Orthodox,1978-07-31,172.72,77.11064,176.7506
Anton Berzin,Orthodox,1989-09-29,187.96,92.98636,192.8288
Anton Kuivanen,Orthodox,1984-05-01,172.72,70.30676,176.7506
Anton Zafir,Orthodox,1987-05-10,180.34,77.11064,184.7897
Antoni Hardonk,Orthodox,1976-02-05,193.04,111.13004,198.1882
Antonina Shevchenko,Southpaw,1984-11-20,172.72,56.699,176.7506
Antonio Arroyo,Orthodox,1989-07-01,182.88,83.91452,187.46939999999998
Antonio Banuelos,Orthodox,1979-09-23,165.1,61.23492,168.7115
Antonio Braga Neto,Orthodox,1987-10-29,190.5,83.91452,195.5085
Antonio Carlos Junior,Orthodox,1990-03-16,187.96,83.91452,192.8288
Antonio Carvalho,Orthodox,1979-05-30,175.26,65.77083999999999,179.4303
Antonio Dos Santos,Orthodox,1988-07-21,177.8,83.91452,182.11
Antonio Duarte,Orthodox,,170.18,61.23492,174.0709
Antonio Jones,Orthodox,1985-04-12,180.34,83.91452,184.7897
Antonio McKee,Southpaw,1970-03-12,172.72,70.30676,176.7506
Antonio Mendes,Southpaw,1981-04-19,190.5,92.98636,195.5085
Antonio Schembri,Orthodox,1974-06-01,175.26,92.98636,179.4303
Antonio Silva,Orthodox,1979-09-14,193.04,119.748288,198.1882
Antonio Trocoli,Orthodox,1990-12-06,195.57999999999998,92.98636,200.86789999999996
Antony Rea,Orthodox,1976-07-15,182.88,92.98636,187.46939999999998
Antwain Britt,Orthodox,1978-05-09,185.42,92.98636,190.14909999999998
Ariane Lipski,Orthodox,1994-01-26,160.02,56.699,163.3521
Ariel Beck,Orthodox,1990-09-16,167.64000000000001,56.699,171.3912
Ariel Gandulla,Orthodox,1968-05-07,180.34,92.98636,184.7897
Arjan Bhullar,Orthodox,1986-05-13,185.42,111.13004,190.14909999999998
Arlene Blencowe,Orthodox,1983-04-11,165.1,65.77083999999999,168.7115
Arman Tsarukyan,Orthodox,1996-10-11,170.18,70.30676,174.0709
Armando Villarreal,Orthodox,1989-08-08,170.18,65.77083999999999,174.0709
Arnold Allen,Southpaw,1994-01-22,172.72,65.77083999999999,176.7506
Art Arciniega,Orthodox,1981-10-15,172.72,65.77083999999999,176.7506
Art Jimmerson,Orthodox,1963-08-04,185.42,88.904032,190.14909999999998
Art Santore,Orthodox,1972-10-26,187.96,83.91452,192.8288
Artem Frolov,Orthodox,1991-09-07,177.8,83.91452,182.11
Artem Lobov,Southpaw,1986-08-11,175.26,65.77083999999999,179.4303
Artenus Young,Orthodox,1980-07-16,,92.98636,
Artur Oumakhanov,Orthodox,1979-02-27,170.18,69.853168,174.0709
Asbel Cancio,Orthodox,,177.8,102.0582,182.11
Ashe Bowman,Orthodox,1976-11-17,175.26,70.30676,179.4303
Ashkan Mokhtarian,Southpaw,1985-09-15,167.64000000000001,56.699,171.3912
Ashlee Evans-Smith,Orthodox,1987-07-09,172.72,56.699,176.7506
Ashley Yoder,Southpaw,1987-10-20,170.18,52.16308,174.0709
Aspen Ladd,Orthodox,1995-03-01,167.64000000000001,61.23492,171.3912
Assuerio Silva,Orthodox,1974-06-18,177.8,109.31567199999999,182.11
Atsushi Yamamoto,Orthodox,1980-10-02,167.64000000000001,63.049288,171.3912
Augusto Mendes,Orthodox,1983-03-03,167.64000000000001,61.23492,171.3912
Augusto Montano,Orthodox,1984-10-25,185.42,77.11064,190.14909999999998
Augusto Sakai,Orthodox,1991-05-09,190.5,120.20188,195.5085
Aurelijus Kerpe,Orthodox,,,,
Austen Lane,Orthodox,1987-11-09,198.12,111.13004,203.5476
Austin Arnett,Orthodox,1991-10-22,182.88,65.77083999999999,187.46939999999998
Austin Hubbard,Orthodox,1991-12-22,177.8,70.30676,182.11
Austin Springer,Orthodox,1987-05-12,172.72,65.77083999999999,176.7506
Austin Tweedy,Orthodox,1990-09-25,175.26,70.30676,179.4303
Austin Vanderford,Orthodox,1990-03-21,180.34,77.11064,184.7897
Azamat Gashimov,Orthodox,1990-04-07,167.64000000000001,56.699,171.3912
Azamat Murzakanov,Orthodox,,180.34,92.98636,184.7897
BJ Penn,Orthodox,1978-12-13,175.26,70.30676,179.4303
Bao Quach,Orthodox,1979-09-04,160.02,65.77083999999999,163.3521
Barb Honchak,Orthodox,1979-08-30,162.56,56.699,166.0318
Bart Palaszewski,Orthodox,1983-05-30,175.26,65.77083999999999,179.4303
Bartosz Fabinski,Orthodox,1986-04-26,182.88,77.11064,187.46939999999998
Baru Harn,Orthodox,,,120.20188,
Bas Rutten,Orthodox,1965-02-24,185.42,92.98636,190.14909999999998
Bazigit Atajev,Orthodox,,185.42,104.32616,190.14909999999998
Bea Malecki,Orthodox,1991-08-23,175.26,61.23492,179.4303
Bec Rawlings,Orthodox,1989-02-11,167.64000000000001,56.699,171.3912
Belal Muhammad,Orthodox,1988-07-09,180.34,77.11064,184.7897
Ben Askren,Orthodox,1984-07-18,180.34,77.11064,184.7897
Ben Earwood,Orthodox,,172.72,77.11064,176.7506
Ben Holscher,Orthodox,,180.34,70.30676,184.7897
Ben Jones,Orthodox,,,83.91452,
Ben Lagman,Orthodox,1986-09-04,187.96,83.91452,192.8288
Ben Nguyen,Switch,1988-08-03,165.1,56.699,168.7115
Ben Reiter,Orthodox,1987-06-27,190.5,83.91452,195.5085
Ben Rothwell,Orthodox,1981-10-17,193.04,120.20188,198.1882
Ben Saunders,Orthodox,1983-04-13,187.96,77.11064,192.8288
Ben Wall,Orthodox,1989-03-25,177.8,70.30676,182.11
Bendy Casimir,Southpaw,1980-06-10,165.1,65.77083999999999,168.7115
Beneil Dariush,Southpaw,1989-05-06,177.8,70.30676,182.11
Benito Lopez,Switch,1994-04-06,177.8,61.23492,182.11
Benji Radach,Orthodox,1979-04-05,177.8,83.91452,182.11
Benny Alloway,Orthodox,1981-02-19,180.34,77.11064,184.7897
Benson Henderson,Southpaw,1983-11-16,175.26,77.11064,179.4303
Bentley Syler,Orthodox,1982-12-22,162.56,56.699,166.0318
Bernardo Magalhaes,Orthodox,1981-04-08,175.26,70.30676,179.4303
Bertrand Amoussou,Orthodox,,172.72,86.18248,176.7506
Besam Yousef,Orthodox,1985-03-25,180.34,77.11064,184.7897
Bethe Correia,Orthodox,1983-06-22,165.1,61.23492,168.7115
Bevon Lewis,Orthodox,1991-05-05,190.5,83.91452,195.5085
Bharat Kandare,Orthodox,1987-06-20,170.18,61.23492,174.0709
Bibiano Fernandes,Orthodox,1980-03-30,170.18,63.049288,174.0709
Bill Algeo,Switch,1989-06-09,182.88,65.77083999999999,187.46939999999998
Bill Cooper,Orthodox,1984-05-05,,70.30676,
Bill Duvall,Southpaw,,187.96,83.91452,192.8288
Bill Mahood,Orthodox,1967-02-01,190.5,90.7184,195.5085
Billy Evangelista,Orthodox,1980-10-07,172.72,70.30676,176.7506
Billy Giovanella,Orthodox,1985-08-20,172.72,56.699,176.7506
Billy Miles,Orthodox,1978-04-28,177.8,77.11064,182.11
Billy Quarantillo,Orthodox,,177.8,70.30676,182.11
Billy Vaughan,Orthodox,1983-12-02,167.64000000000001,70.30676,171.3912
Blagoy Ivanov,Southpaw,1986-10-09,180.34,113.398,184.7897
Blair Tugman,Orthodox,,182.88,61.23492,187.46939999999998
Blake Bowman,Orthodox,,187.96,77.11064,192.8288
Blake Watkins,Orthodox,,,83.91452,
Blas Avena,Orthodox,1983-06-30,182.88,77.11064,187.46939999999998
Bo Cantrell,Orthodox,1969-02-08,187.96,106.59412,192.8288
Bob Cook,Orthodox,,175.26,77.11064,179.4303
Bob Gilstrap,Orthodox,,190.5,90.7184,195.5085
Bob Sapp,Orthodox,1974-09-22,195.57999999999998,158.7572,200.86789999999996
Bob Schrijber,Orthodox,,182.88,108.86207999999999,187.46939999999998
Bobby Cooper,Orthodox,,185.42,70.30676,190.14909999999998
Bobby Escalante,Orthodox,,,58.96696,
Bobby Flynn,Orthodox,,,77.11064,
Bobby Green,Orthodox,1986-09-09,177.8,70.30676,182.11
Bobby Hoffman,Orthodox,1968-10-28,187.96,111.13004,192.8288
Bobby Lashley,Orthodox,1976-07-16,190.5,115.66596,195.5085
Bobby McAndrews,Orthodox,,,,
Bobby Moffett,Orthodox,1990-06-01,177.8,65.77083999999999,182.11
Bobby Nash,Orthodox,1990-03-26,182.88,77.11064,187.46939999999998
Bobby Sanchez,Orthodox,,170.18,70.30676,174.0709
Bobby Southworth,Orthodox,1969-12-16,187.96,92.98636,192.8288
Bobby Stack,Orthodox,,175.26,70.30676,179.4303
Bobby Voelker,Orthodox,1979-04-26,182.88,77.11064,187.46939999999998
Bojan Mihajlovic,Orthodox,1980-03-30,180.34,92.98636,184.7897
Bojan Velickovic,Southpaw,1988-12-18,182.88,77.11064,187.46939999999998
Booker DeRousse,Orthodox,1981-03-23,187.96,92.98636,192.8288
Boston Salmon,Southpaw,1990-11-20,175.26,61.23492,179.4303
Brad Blackburn,Orthodox,1977-05-25,177.8,77.11064,182.11
Brad Gumm,Orthodox,,180.34,77.11064,184.7897
Brad Imes,Orthodox,1977-03-13,200.66,120.20188,206.22729999999999
Brad Katona,Orthodox,1991-12-19,167.64000000000001,61.23492,171.3912
Brad Kohler,Orthodox,1964-05-26,175.26,99.79024,179.4303
Brad Mitchell,Orthodox,1974-10-10,180.34,65.77083999999999,184.7897
Brad Morris,Orthodox,1979-11-01,187.96,92.98636,192.8288
Brad Pickett,Orthodox,1978-09-24,167.64000000000001,61.23492,171.3912
Brad Royster,Orthodox,,,61.23492,
Brad Tavares,Orthodox,1987-12-21,185.42,83.91452,190.14909999999998
Bradley Scott,Orthodox,1989-06-24,185.42,77.11064,190.14909999999998
Brady Fink,Orthodox,,182.88,83.007336,187.46939999999998
Branden Lee Hinkle,Orthodox,1973-07-29,190.5,106.59412,195.5085
Brandon Cash,Orthodox,,195.57999999999998,115.66596,200.86789999999996
Brandon Davis,Orthodox,1990-05-08,177.8,61.23492,182.11
Brandon Foxworth,Orthodox,1979-04-28,180.34,65.77083999999999,184.7897
Brandon Gaines,Orthodox,,190.5,83.91452,195.5085
Brandon Girtz,Orthodox,1985-03-06,170.18,70.30676,174.0709
Brandon Halsey,Orthodox,1986-09-16,182.88,83.91452,187.46939999999998
Brandon Hester,Orthodox,,185.42,92.98636,190.14909999999998
Brandon Lowe,Orthodox,,,70.30676,
Brandon Magana,Orthodox,,,77.11064,
Brandon Melendez,Southpaw,1983-03-24,180.34,70.30676,184.7897
Brandon Michaels,Orthodox,,175.26,83.91452,179.4303
Brandon Moreno,Orthodox,1993-12-07,170.18,56.699,174.0709
Brandon Polcare,Orthodox,,,56.699,
Brandon Saling,Orthodox,1986-01-28,177.8,77.11064,182.11
Brandon Sene,Orthodox,1981-05-21,180.34,92.98636,184.7897
Brandon Shuey,Orthodox,1976-02-01,170.18,70.30676,174.0709
Brandon Thatch,Switch,1985-07-11,187.96,77.11064,192.8288
Brandon Vera,Orthodox,1977-10-10,190.5,104.32616,195.5085
Brandon Visher,Orthodox,1984-05-06,167.64000000000001,61.23492,171.3912
Brandon Wolff,Orthodox,1975-10-18,175.26,77.11064,179.4303
Branko Cikatic,Orthodox,1954-10-03,185.42,97.52228,190.14909999999998
